"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.260252050E-1,-6.657706108E-4,-3.994623839E-4,-1.997311832E-3
6.280337990E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
6.300423930E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
6.320509860E-1,-6.657706108E-4,6.657706108E-4,1.331541280E-4
6.340595800E-1,-6.657706108E-4,2.796236658E-3,-9.320789250E-4
6.360681740E-1,3.994623839E-4,6.657706108E-4,1.198387123E-3
6.380767680E-1,3.994623839E-4,1.731003635E-3,1.331541280E-4
6.400853610E-1,1.464695437E-3,1.731003635E-3,-9.320789250E-4
6.420939550E-1,-1.731003635E-3,2.796236658E-3,-9.320789250E-4
6.441025490E-1,3.994623839E-4,2.796236658E-3,-9.320789250E-4
6.461111430E-1,-6.657706108E-4,6.657706108E-4,1.331541280E-4
6.481197360E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
6.501283300E-1,3.994623839E-4,1.731003635E-3,1.331541280E-4
6.521369240E-1,-6.657706108E-4,1.731003635E-3,1.331541280E-4
6.541455180E-1,-6.657706108E-4,1.731003635E-3,1.198387123E-3
6.561541110E-1,-6.657706108E-4,1.731003635E-3,-9.320789250E-4
6.581627050E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
6.601712990E-1,3.994623839E-4,6.657706108E-4,1.331541280E-4
6.621798930E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
6.641884860E-1,-1.731003635E-3,-1.464695437E-3,-9.320789250E-4
6.661970800E-1,3.994623839E-4,-3.994623839E-4,-1.997311832E-3
6.682056740E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
6.702142680E-1,-2.796236658E-3,-3.595161485E-3,1.331541280E-4
6.722228610E-1,3.994623839E-4,-5.725627299E-3,1.331541280E-4
6.742314030E-1,3.994623839E-4,-3.595161485E-3,-9.320789250E-4
6.762399450E-1,-1.731003635E-3,-2.529928461E-3,1.331541280E-4
6.782484860E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
6.802570280E-1,-6.657706108E-4,-3.595161485E-3,-9.320789250E-4
6.822655700E-1,3.994623839E-4,-1.464695437E-3,1.331541280E-4
6.842741110E-1,3.994623839E-4,-1.464695437E-3,-9.320789250E-4
6.862826530E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
6.882911950E-1,1.464695437E-3,6.657706108E-4,-1.997311832E-3
6.902997360E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
6.923082780E-1,1.464695437E-3,1.731003635E-3,-9.320789250E-4
6.943168200E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
6.963253610E-1,3.994623839E-4,2.796236658E-3,-9.320789250E-4
6.983339030E-1,3.994623839E-4,1.731003635E-3,1.331541280E-4
7.003424450E-1,3.994623839E-4,3.861469682E-3,-9.320789250E-4
7.023509860E-1,1.464695437E-3,3.861469682E-3,-9.320789250E-4
7.043595280E-1,3.994623839E-4,1.731003635E-3,1.331541280E-4
7.063680700E-1,3.994623839E-4,2.796236658E-3,-9.320789250E-4
7.083766110E-1,3.994623839E-4,1.731003635E-3,1.331541280E-4
7.103851530E-1,1.464695437E-3,6.657706108E-4,1.331541280E-4
7.123936950E-1,3.994623839E-4,-1.464695437E-3,-3.062544856E-3
7.144022360E-1,3.994623839E-4,6.657706108E-4,1.198387123E-3
7.164107780E-1,3.994623839E-4,6.657706108E-4,-9.320789250E-4
7.184193200E-1,1.464695437E-3,-1.464695437E-3,-9.320789250E-4
7.204278610E-1,3.994623839E-4,6.657706108E-4,1.331541280E-4
7.224364030E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
7.244449450E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
7.264534860E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
7.284620280E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
7.304705700E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
7.324791110E-1,-2.796236658E-3,-2.529928461E-3,-1.997311832E-3
7.344876530E-1,-6.657706108E-4,-3.595161485E-3,1.331541280E-4
7.364961950E-1,-1.731003635E-3,-3.595161485E-3,1.198387123E-3
7.385047360E-1,-1.731003635E-3,-4.660394508E-3,2.263620263E-3
7.405132780E-1,3.994623839E-4,-4.660394508E-3,1.331541280E-4
7.425218200E-1,-2.796236658E-3,-4.660394508E-3,1.331541280E-4
7.445303610E-1,-6.657706108E-4,-4.660394508E-3,-1.997311832E-3
7.465389550E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
7.485475490E-1,-1.731003635E-3,-5.725627299E-3,-9.320789250E-4
7.505561430E-1,-1.731003635E-3,-6.790860556E-3,-9.320789250E-4
7.525647360E-1,-2.796236658E-3,-5.725627299E-3,-9.320789250E-4
7.545733300E-1,-6.657706108E-4,-5.725627299E-3,-9.320789250E-4
7.565819240E-1,-1.731003635E-3,-4.660394508E-3,-9.320789250E-4
7.585905180E-1,-2.796236658E-3,-3.595161485E-3,-9.320789250E-4
7.605991110E-1,-1.731003635E-3,-5.725627299E-3,1.331541280E-4
7.626077050E-1,-1.731003635E-3,-3.595161485E-3,1.198387123E-3
7.646162990E-1,-1.731003635E-3,-2.529928461E-3,1.331541280E-4
7.666248930E-1,-1.731003635E-3,-3.595161485E-3,1.331541280E-4
7.686334860E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
7.706420800E-1,-6.657706108E-4,6.657706108E-4,1.331541280E-4
7.726506740E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
7.746592680E-1,3.994623839E-4,-1.464695437E-3,1.331541280E-4
7.766678610E-1,1.464695437E-3,-3.994623839E-4,-9.320789250E-4
7.786764550E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
7.806850490E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
7.826936430E-1,-6.657706108E-4,-2.529928461E-3,1.331541280E-4
7.847022360E-1,-2.796236658E-3,-3.595161485E-3,-9.320789250E-4
7.867108300E-1,-1.731003635E-3,-2.529928461E-3,-9.320789250E-4
7.887194240E-1,-2.796236658E-3,-3.595161485E-3,-9.320789250E-4
7.907280180E-1,-1.731003635E-3,-4.660394508E-3,1.198387123E-3
7.927366110E-1,-6.657706108E-4,-3.595161485E-3,-9.320789250E-4
7.947452050E-1,-1.731003635E-3,-4.660394508E-3,-9.320789250E-4
7.967537990E-1,-2.796236658E-3,-4.660394508E-3,-9.320789250E-4
7.987623930E-1,-1.731003635E-3,-3.595161485E-3,-1.997311832E-3
8.007709860E-1,-1.731003635E-3,-4.660394508E-3,-9.320789250E-4
8.027795800E-1,-6.657706108E-4,-5.725627299E-3,1.331541280E-4
8.047881740E-1,-6.657706108E-4,-5.725627299E-3,1.331541280E-4
8.067967680E-1,-6.657706108E-4,-5.725627299E-3,1.331541280E-4
8.088053610E-1,-1.731003635E-3,-5.725627299E-3,-9.320789250E-4
8.108139550E-1,-1.731003635E-3,-5.725627299E-3,1.331541280E-4
8.128225490E-1,-1.731003635E-3,-2.529928461E-3,1.198387123E-3
8.148311430E-1,-1.731003635E-3,-4.660394508E-3,1.331541280E-4
8.168397360E-1,-6.657706108E-4,-3.595161485E-3,1.331541280E-4
8.188483300E-1,-1.731003635E-3,-4.660394508E-3,1.198387123E-3
8.208569240E-1,-2.796236658E-3,-4.660394508E-3,-9.320789250E-4
8.228655180E-1,-1.731003635E-3,-4.660394508E-3,1.331541280E-4
8.248741110E-1,-6.657706108E-4,-3.595161485E-3,1.331541280E-4
8.268827050E-1,-6.657706108E-4,-3.595161485E-3,1.198387123E-3
8.288912990E-1,-6.657706108E-4,-3.595161485E-3,-9.320789250E-4
8.308998930E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
8.329084860E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
8.349170800E-1,-1.731003635E-3,-3.994623839E-4,-9.320789250E-4
