"Time (s),""Acceleration x (m/s^2)"",""Acceleration y (m/s^2)"",""Acceleration z (m/s^2)"""
5.979048930E-1,1.532289088E-1,9.816227108E-2,9.943717957E0
5.999134860E-1,1.508347094E-1,9.576806426E-2,9.962871552E0
6.019220800E-1,1.508347094E-1,8.858546615E-2,9.953294754E0
6.039306740E-1,1.460463107E-1,1.101332754E-1,9.934141159E0
6.059392680E-1,1.532289088E-1,9.337386489E-2,9.934141159E0
6.079478610E-1,1.340752989E-1,9.576806426E-2,9.926959038E0
6.099564550E-1,1.460463107E-1,8.140286058E-2,9.941324234E0
6.119650490E-1,1.604115069E-1,8.379705995E-2,9.967659950E0
6.139736430E-1,1.651999205E-1,9.097966552E-2,9.977236748E0
6.159822360E-1,1.412578970E-1,9.097966552E-2,9.965266228E0
6.179908300E-1,1.460463107E-1,1.029506698E-1,9.946112633E0
6.199994240E-1,1.556231081E-1,1.077390760E-1,9.946112633E0
6.220080180E-1,1.604115069E-1,9.097966552E-2,9.960477829E0
6.240166110E-1,1.532289088E-1,1.125274822E-1,9.953294754E0
6.260252050E-1,1.580173075E-1,7.182604820E-2,9.979631424E0
6.280337990E-1,1.508347094E-1,8.619125932E-2,9.958083153E0
6.300423930E-1,1.556231081E-1,9.816227108E-2,9.950901031E0
6.320509860E-1,1.580173075E-1,1.005564705E-1,9.943717957E0
6.340595800E-1,1.460463107E-1,9.816227108E-2,9.965266228E0
6.360681740E-1,1.460463107E-1,7.900865376E-2,9.960477829E0
6.380767680E-1,1.388636976E-1,9.816227108E-2,9.948506355E0
6.400853610E-1,1.460463107E-1,9.816227108E-2,9.943717957E0
6.420939550E-1,1.412578970E-1,9.337386489E-2,9.946112633E0
6.441025490E-1,1.340752989E-1,9.576806426E-2,9.943717957E0
6.461111430E-1,1.388636976E-1,9.097966552E-2,9.972448349E0
6.481197360E-1,1.436520964E-1,9.576806426E-2,9.958083153E0
6.501283300E-1,1.436520964E-1,8.379705995E-2,9.948506355E0
6.521369240E-1,1.364694983E-1,1.101332754E-1,9.948506355E0
6.541455180E-1,1.412578970E-1,9.576806426E-2,9.931747437E0
6.561541110E-1,1.316810995E-1,1.005564705E-1,9.922170639E0
